	family	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
0	PF00004	16386	0.0	0.0	0.0
1	PF00004	16389	0.0	1.0	1.0
2	PF00004	16390	0.0	0.5	0.5
3	PF00004	10	0.0	0.0	0.0
4	PF00004	8203	0.0	0.0	0.0
5	PF00004	12	0.0	0.0	0.0
6	PF00004	16394	0.0	1.0	1.0
7	PF00004	14	0.0	0.5	0.5
8	PF00004	8209	0.0	0.0	0.0
9	PF00004	16406	0.0	1.0	1.0
10	PF00004	8227	0.0	0.5	0.5
11	PF00004	8229	0.0	0.0	0.0
12	PF00004	8231	0.0	1.0	1.0
13	PF00004	16423	0.0	0.5	0.5
14	PF00004	8235	0.0	0.5	0.5
15	PF00004	8246	0.0	1.0	1.0
16	PF00004	16439	0.0	0.5	0.5
17	PF00004	56	0.0	0.0	0.0
18	PF00004	61	0.0	0.0	0.0
19	PF00004	16449	0.0	0.5	0.5
20	PF00004	8259	0.0	0.5	0.5
21	PF00004	8265	0.0	0.0	0.0
22	PF00004	16457	0.0	0.5	0.5
23	PF00004	16459	0.0	0.5	0.5
24	PF00004	78	1.0	1.0	1.0
25	PF00004	90	0.0	1.0	1.0
26	PF00004	8287	0.0	0.5	0.5
27	PF00004	16479	0.0	0.5	0.5
28	PF00004	16483	0.0	1.0	1.0
29	PF00004	106	0.0	0.0	0.0
30	PF00004	16490	0.0	0.5	0.5
31	PF00004	8309	0.0	0.5	0.5
32	PF00004	118	0.0	0.5	0.5
33	PF00004	16501	0.5	0.5	0.5
34	PF00004	8312	0.0	0.0	0.0
35	PF00004	126	0.0	1.0	1.0
36	PF00004	127	0.5	0.5	0.0
37	PF00004	16510	0.0	1.0	1.0
38	PF00004	8322	0.0	0.5	0.5
39	PF00004	8323	0.5	0.5	0.0
40	PF00004	16515	0.0	0.0	0.0
41	PF00004	8326	0.5	0.5	0.0
42	PF00004	16518	0.0	0.5	0.5
43	PF00004	16522	0.0	0.0	0.0
44	PF00004	16525	0.0	0.5	0.5
45	PF00004	8336	0.0	0.0	0.0
46	PF00004	146	0.0	0.5	0.5
47	PF00004	8339	0.0	0.0	0.0
48	PF00004	149	0.0	0.0	0.0
49	PF00004	154	0.0	0.0	0.0
50	PF00004	16539	0.0	0.5	0.5
51	PF00004	16543	0.0	0.0	0.0
52	PF00004	162	0.0	0.5	0.5
53	PF00004	8357	0.0	1.0	1.0
54	PF00004	8358	0.0	1.0	1.0
55	PF00004	8364	0.5	1.0	1.0
56	PF00004	190	0.0	0.5	0.5
57	PF00004	191	0.5	1.0	1.0
58	PF00004	198	0.0	0.5	0.5
59	PF00004	8390	0.0	1.0	1.0
60	PF00004	8393	0.5	0.5	0.5
61	PF00004	203	0.0	0.0	0.0
62	PF00004	207	0.0	0.0	0.0
63	PF00004	208	0.0	0.0	0.0
