	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
0	1	0.0	0.5	0.5
1	10	0.0	0.0	0.0
2	100	0.5	0.5	0.0
3	1000	0.0	1.0	1.0
4	1001	0.0	0.5	0.5
5	1002	0.5	0.0	0.5
6	1003	0.0	0.5	0.5
7	1004	0.0	0.0	0.0
8	1005	0.5	1.0	1.0
9	1006	1.0	1.0	0.5
10	1007	0.5	0.5	0.5
11	1008	1.0	1.0	0.0
12	1009	0.5	0.5	0.0
13	101	0.0	0.0	0.0
14	1010	0.0	0.0	0.0
15	1011	0.0	0.5	0.5
16	1012	0.0	0.0	0.0
17	1013	0.0	0.5	0.5
18	1014	0.0	0.5	0.5
19	1015	0.5	0.5	0.0
20	1016	0.0	0.5	0.5
21	1017	0.5	1.0	0.5
22	1018	0.0	0.5	0.5
23	1019	0.5	0.0	0.5
24	102	0.5	0.0	0.5
25	1020	0.0	0.0	0.0
26	1021	0.0	0.0	0.0
27	1022	0.5	0.5	0.5
28	1023	0.0	0.5	0.5
29	1024	0.5	1.0	0.5
30	1025	0.0	0.0	0.0
31	1026	0.0	0.5	0.5
32	1027	0.0	0.5	0.5
33	1028	0.5	1.0	1.0
34	1029	0.0	0.0	0.0
35	103	0.0	0.5	0.5
36	1030	0.0	0.0	0.0
37	1031	0.0	0.5	0.5
38	1032	0.0	1.0	1.0
39	1033	1.0	0.0	1.0
40	1034	0.0	0.0	0.0
41	1035	0.0	0.0	0.0
42	1036	0.0	1.0	1.0
43	1037	0.0	0.5	0.5
44	1038	0.5	0.0	0.5
45	1039	0.0	0.0	0.0
46	104	0.0	0.0	0.0
47	1040	0.0	0.5	0.5
48	1041	0.5	0.5	0.0
49	1042	0.0	1.0	1.0
50	1043	0.0	0.5	0.5
51	1044	0.5	0.5	1.0
52	1045	0.0	1.0	1.0
53	1046	1.0	1.0	0.5
54	1047	0.0	1.0	1.0
55	1048	0.0	1.0	1.0
56	1049	0.0	0.5	0.5
57	105	1.0	0.5	0.5
58	1050	0.0	0.0	0.0
59	1051	0.5	0.5	0.0
60	1052	0.5	1.0	1.0
61	1053	0.0	0.5	0.5
62	1054	0.0	0.5	0.5
63	1055	0.5	0.5	0.0
64	1056	0.5	0.5	0.5
65	1057	1.0	1.0	0.5
66	1058	1.0	0.0	1.0
67	1059	0.0	0.0	0.0
68	106	0.0	1.0	1.0
69	1060	0.0	0.5	0.5
70	1061	0.5	1.0	1.0
71	1062	0.0	0.0	0.0
72	1063	0.0	0.5	0.5
73	1064	0.5	0.5	0.0
74	1065	0.5	0.0	0.5
75	1066	0.0	0.0	0.0
76	1067	0.0	0.5	0.5
77	1068	0.0	0.5	0.5
78	1069	0.0	1.0	1.0
79	107	0.0	0.0	0.0
80	1070	0.5	1.0	1.0
81	1071	0.0	0.5	0.5
82	1072	0.0	0.5	0.5
83	1073	0.0	0.5	0.5
84	1074	1.0	1.0	0.0
85	1075	1.0	1.0	1.0
86	1076	0.0	0.0	0.0
87	1077	0.0	0.0	0.0
88	1078	0.0	0.5	0.5
89	1079	0.0	1.0	1.0
90	108	0.0	0.0	0.0
91	1080	0.0	0.5	0.5
92	1081	0.0	0.0	0.0
93	1082	0.0	0.0	0.0
94	1083	0.0	1.0	1.0
95	1084	0.0	0.5	0.5
96	1085	0.0	0.5	0.5
97	1086	0.0	0.5	0.5
98	1087	0.0	0.5	0.5
99	1088	1.0	1.0	0.5
100	1089	0.0	0.5	0.5
101	109	0.5	0.0	0.5
102	1090	0.0	0.5	0.5
103	1091	0.0	0.5	0.5
104	1092	0.0	0.5	0.5
105	1093	0.0	0.0	0.0
106	1094	0.0	0.0	0.0
107	1095	0.0	0.5	0.5
108	1096	0.0	0.0	0.0
109	1097	0.5	1.0	0.5
110	1098	0.0	0.5	0.5
111	1099	0.0	1.0	1.0
112	11	0.0	0.0	0.0
113	110	0.0	0.5	0.5
114	1100	0.0	0.5	0.5
115	1101	0.0	0.0	0.0
116	1102	0.0	0.0	0.0
117	1103	0.0	0.5	0.5
118	1104	0.5	0.0	0.5
119	1105	1.0	1.0	0.0
120	1106	0.5	1.0	1.0
121	1107	0.5	0.5	0.0
122	1108	0.0	0.0	0.0
123	1109	0.0	0.5	0.5
124	111	0.5	0.0	0.5
125	1110	0.0	0.5	0.5
126	1111	0.5	1.0	1.0
127	1112	0.5	1.0	1.0
128	1113	0.0	1.0	1.0
129	1114	1.0	1.0	0.5
130	1115	0.0	0.0	0.0
131	1116	0.0	0.0	0.0
132	1117	0.0	0.5	0.5
133	1118	1.0	1.0	0.5
134	1119	0.0	0.5	0.5
135	112	0.5	0.0	0.5
136	1120	1.0	1.0	0.5
137	1121	0.0	1.0	1.0
138	1122	0.5	0.5	1.0
139	1123	0.0	0.0	0.0
140	1124	0.5	0.5	1.0
141	1125	0.5	0.5	0.5
142	1126	0.5	1.0	1.0
143	1127	0.0	0.5	0.5
144	1128	0.5	0.0	0.5
145	1129	0.0	0.0	0.0
146	113	1.0	0.5	1.0
147	1130	0.0	0.5	0.5
148	1131	0.5	0.5	0.0
149	1132	1.0	1.0	0.5
150	1133	0.5	1.0	1.0
151	1134	0.0	0.5	0.5
152	1135	0.0	0.0	0.0
153	1136	0.0	1.0	1.0
154	1137	1.0	1.0	0.0
155	1138	0.0	0.5	0.5
156	1139	0.0	0.0	0.0
157	114	0.0	0.5	0.5
158	1140	1.0	1.0	0.5
159	1141	1.0	1.0	1.0
160	1142	0.0	1.0	1.0
161	1143	0.0	0.5	0.5
162	1144	0.0	0.5	0.5
163	1145	0.5	0.5	0.5
164	1146	0.5	1.0	0.5
165	1147	0.0	0.0	0.0
166	1148	0.5	1.0	0.5
167	1149	0.0	0.0	0.0
168	115	1.0	0.5	1.0
169	1150	0.0	0.5	0.5
170	1151	0.5	1.0	1.0
171	1152	0.0	0.5	0.5
172	1153	0.0	0.5	0.5
173	1154	0.0	0.0	0.0
174	1155	0.0	0.0	0.0
175	1156	1.0	1.0	1.0
176	1157	0.5	0.5	0.0
177	1158	0.0	0.0	0.0
178	1159	0.5	0.0	0.5
179	116	1.0	1.0	0.0
180	1160	0.5	0.0	0.5
181	1161	0.0	0.5	0.5
182	1162	0.0	0.0	0.0
183	1163	0.0	0.0	0.0
184	1164	0.0	0.5	0.5
185	1165	0.0	1.0	1.0
186	1166	0.5	0.5	1.0
187	1167	0.0	1.0	1.0
188	1168	0.0	1.0	1.0
189	1169	0.0	0.5	0.5
190	117	0.5	0.5	0.0
191	1170	1.0	0.5	1.0
192	1171	0.0	0.0	0.0
193	1172	0.0	0.5	0.5
194	1173	0.5	0.0	0.5
195	1174	0.0	0.0	0.0
196	1175	0.5	0.0	0.5
197	1176	0.0	0.5	0.5
198	1177	0.0	1.0	1.0
199	1178	0.5	1.0	1.0
200	1179	0.0	1.0	1.0
201	118	1.0	1.0	1.0
202	1180	1.0	1.0	0.5
203	1181	1.0	1.0	0.5
204	1182	0.0	1.0	1.0
205	1183	0.5	0.5	1.0
206	1184	0.0	0.5	0.5
207	1185	0.0	1.0	1.0
208	1186	0.0	0.0	0.0
209	1187	0.0	0.0	0.0
210	1188	0.0	0.0	0.0
211	1189	0.5	0.5	1.0
212	119	0.0	0.0	0.0
213	1190	0.0	0.5	0.5
214	1191	0.0	0.0	0.0
215	1192	0.0	0.5	0.5
216	1193	0.5	0.5	0.5
217	1194	0.0	0.5	0.5
218	1195	0.5	0.5	1.0
219	1196	1.0	1.0	0.5
220	1197	0.5	1.0	0.5
221	1198	0.0	0.5	0.5
222	1199	0.0	0.0	0.0
223	12	0.5	0.0	0.5
224	120	0.0	0.0	0.0
225	1200	0.5	1.0	1.0
226	1201	0.0	0.0	0.0
227	1202	0.0	0.5	0.5
228	1203	0.0	0.5	0.5
229	1204	0.0	0.5	0.5
230	1205	0.0	0.0	0.0
231	1206	0.0	0.0	0.0
232	1207	0.0	0.0	0.0
233	1208	0.0	0.0	0.0
234	1209	0.0	0.5	0.5
235	121	0.0	0.5	0.5
236	1210	0.0	0.5	0.5
237	1211	0.5	0.0	0.5
238	1212	0.0	1.0	1.0
239	1213	0.0	0.0	0.0
240	1214	1.0	0.5	0.5
241	1215	0.0	1.0	1.0
242	1216	0.0	1.0	1.0
243	1217	0.5	1.0	0.5
244	1218	0.0	0.0	0.0
245	1219	0.0	0.0	0.0
246	122	0.0	0.0	0.0
247	1220	0.0	0.0	0.0
248	1221	0.0	0.5	0.5
249	1222	1.0	1.0	0.5
250	1223	0.5	1.0	1.0
251	1224	0.5	1.0	1.0
252	1225	0.5	1.0	1.0
253	1226	0.0	0.5	0.5
254	1227	0.0	1.0	1.0
255	1228	0.0	1.0	1.0
