	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
0	16386	0.0	0.0	0.0
1	16389	0.5	0.5	1.0
2	16390	0.0	0.5	0.5
3	10	0.0	0.0	0.0
4	8203	0.5	0.5	0.0
5	12	0.0	0.0	0.0
6	16394	0.0	1.0	1.0
7	14	0.5	1.0	0.5
8	8209	0.0	0.0	0.0
9	16406	0.0	1.0	1.0
10	8227	0.0	0.5	0.5
11	8229	0.5	0.5	0.0
12	8231	0.5	0.5	1.0
13	16423	0.0	0.5	0.5
14	8235	0.5	1.0	0.5
15	8246	0.5	1.0	1.0
16	16439	0.5	0.5	0.5
17	56	0.0	0.0	0.0
18	61	0.0	0.0	0.0
19	16449	0.0	0.5	0.5
20	8259	0.5	1.0	0.5
21	8265	0.0	0.0	0.0
22	16457	0.0	0.5	0.5
23	16459	0.5	0.0	0.5
24	78	1.0	0.5	1.0
25	90	0.5	1.0	1.0
26	8287	0.0	0.5	0.5
27	16479	0.0	0.5	0.5
28	16483	0.5	1.0	1.0
29	106	0.0	0.0	0.0
30	16490	0.0	0.5	0.5
31	8309	0.0	0.5	0.5
32	118	0.0	0.5	0.5
33	16501	1.0	1.0	0.5
34	8312	0.0	0.0	0.0
35	126	0.0	1.0	1.0
36	127	0.5	0.5	0.0
37	16510	0.0	1.0	1.0
38	8322	1.0	1.0	0.5
39	8323	0.0	0.0	0.0
40	16515	0.0	0.0	0.0
41	8326	0.0	0.0	0.0
42	16518	0.5	0.0	0.5
43	16522	0.5	0.5	0.0
44	16525	0.0	0.5	0.5
45	8336	0.5	0.5	0.0
46	146	1.0	1.0	0.5
47	8339	0.0	0.0	0.0
48	149	0.5	0.5	0.0
49	154	0.0	0.0	0.0
50	16539	0.5	1.0	0.5
51	16543	0.0	0.0	0.0
52	162	0.5	1.0	0.5
53	8357	0.5	0.5	1.0
54	8358	0.0	1.0	1.0
55	8364	0.0	1.0	1.0
56	190	0.0	0.5	0.5
57	191	0.5	1.0	1.0
58	198	0.0	0.5	0.5
59	8390	0.0	1.0	1.0
