subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
16386	0.0	0.5	0.5
16389	0.0	1.0	1.0
16390	0.0	0.5	0.5
10	0.0	0.5	0.5
8203	0.0	0.0	0.0
12	0.5	0.5	0.0
16394	0.0	1.0	1.0
14	0.0	0.5	0.5
8209	0.0	0.0	0.0
16406	0.0	1.0	1.0
8227	0.0	0.0	0.0
8229	0.0	0.5	0.5
8231	0.0	1.0	1.0
16423	0.0	0.5	0.5
8235	0.0	0.5	0.5
8246	0.0	1.0	1.0
16439	0.5	1.0	1.0
56	0.0	0.5	0.5
61	0.0	0.0	0.0
16449	1.0	1.0	0.0
8259	0.0	0.5	0.5
8265	0.5	0.5	0.0
16457	0.0	0.0	0.0
16459	0.5	0.0	0.5
78	0.0	1.0	1.0
90	0.0	1.0	1.0
8287	0.0	0.5	0.5
16479	0.0	0.5	0.5
16483	1.0	1.0	1.0
106	1.0	1.0	0.5
16490	0.5	0.0	0.5
8309	0.0	0.5	0.5
118	0.0	0.5	0.5
16501	0.5	0.0	0.5
8312	1.0	1.0	0.0
126	0.0	1.0	1.0
127	0.5	0.5	0.0
16510	0.0	1.0	1.0
8322	0.0	0.0	0.0
8323	0.0	0.0	0.0
16515	0.0	0.5	0.5
8326	0.5	0.5	0.0
16518	0.0	0.5	0.5
16522	0.0	0.0	0.0
16525	0.0	0.5	0.5
8336	0.0	0.0	0.0
146	0.0	0.0	0.0
8339	0.0	0.0	0.0
149	0.0	0.0	0.0
154	1.0	1.0	0.0
16539	0.0	0.5	0.5
16543	0.0	0.0	0.0
162	0.0	0.5	0.5
8357	0.0	1.0	1.0
8358	0.5	1.0	1.0
8364	0.5	1.0	1.0
190	0.0	0.5	0.5
191	0.0	1.0	1.0
198	0.0	0.5	0.5
8390	1.0	1.0	1.0
8393	0.0	0.5	0.5
203	0.0	0.0	0.0
207	1.0	1.0	0.5
208	0.0	0.0	0.0
214	1.0	0.5	1.0
8416	0.0	1.0	1.0
16609	0.0	0.0	0.0
16610	0.0	0.0	0.0
16617	0.5	0.5	1.0
236	0.0	1.0	1.0
237	0.0	0.5	0.5
8428	1.0	1.0	0.0
8429	0.0	0.0	0.0
8430	1.0	0.0	1.0
8434	0.0	1.0	1.0
8437	0.0	0.5	0.5
16634	1.0	1.0	0.5
16640	0.0	0.5	0.5
16645	0.0	0.0	0.0
16647	0.0	0.0	0.0
16654	0.0	0.5	0.5
272	1.0	1.0	0.0
8468	0.0	0.5	0.5
16662	0.0	0.0	0.0
8473	0.0	1.0	0.5
282	0.0	0.0	0.0
16670	1.0	1.0	0.0
295	0.0	0.5	0.5
302	0.0	0.0	0.0
303	0.0	1.0	1.0
16691	0.0	0.5	0.5
8503	0.0	0.5	0.5
16702	0.0	0.0	0.0
8513	0.0	0.5	0.5
8520	0.5	0.5	0.0
16714	0.0	0.0	0.0
8530	0.5	0.5	0.5
339	0.0	0.0	0.0
16725	0.5	1.0	1.0
8534	0.0	0.5	0.5
16726	0.0	0.0	0.0
16730	0.0	1.0	1.0
353	0.0	0.5	0.5
363	0.5	0.0	0.5
8556	0.0	0.0	0.0
16749	0.0	0.0	0.0
375	0.0	0.5	0.5
8568	0.0	0.5	0.5
8572	0.0	0.5	0.5
385	0.0	0.5	0.5
8578	1.0	1.0	0.0
8581	0.0	0.0	0.0
16775	0.0	0.0	0.0
392	1.0	1.0	0.5
16780	1.0	0.0	1.0
8593	0.0	0.5	0.5
8596	0.0	0.0	0.0
405	0.5	0.5	0.0
407	0.0	1.0	1.0
8602	0.0	1.0	1.0
413	0.0	0.0	0.0
418	0.0	0.0	0.0
420	0.0	0.0	0.0
8634	1.0	1.0	0.5
8637	0.0	1.0	1.0
8647	1.0	1.0	1.0
16839	0.0	1.0	1.0
459	0.0	1.0	1.0
16851	0.5	0.0	0.5
8660	0.0	0.5	0.5
8663	0.0	1.0	1.0
8667	0.0	0.5	0.5
