	subtree_id	inferred-true-rf	inferred-init-rf	init-true-rf
0	PF17866	0.5	1.0	1.0
1	PF04775	0.5	0.5	0.0
2	PF22658	0.5	0.5	1.0
3	PF24852	0.0	0.5	0.5
4	PF25522	1.0	0.0	1.0
5	PF19104	0.0	0.5	0.5
6	PF06886	0.0	0.5	0.5
7	PF20712	0.5	0.0	0.5
8	PF20901	0.0	0.0	0.0
9	PF01442	1.0	1.0	0.0
10	PF05137	0.0	0.0	0.0
11	PF22010	0.5	0.0	0.5
12	PF25424	1.0	1.0	0.0
13	PF18174	0.5	0.5	0.0
14	PF01644	0.5	0.0	0.5
15	PF13966	0.5	0.5	0.0
16	PF08334	0.5	0.0	0.5
17	PF09495	0.5	0.0	0.5
18	PF23549	0.0	0.5	0.5
19	PF07286	0.5	0.0	0.5
20	PF25058	0.0	1.0	1.0
21	PF01994	0.5	1.0	1.0
22	PF17135	0.5	0.5	0.0
23	PF16370	1.0	0.5	1.0
24	PF24466	1.0	1.0	0.5
25	PF17189	0.0	0.5	0.5
26	PF16561	1.0	0.5	0.5
27	PF17804	0.5	0.0	0.5
28	PF12357	1.0	0.5	1.0
29	PF18914	0.5	1.0	1.0
30	PF25581	0.5	0.5	0.5
31	PF08144	1.0	1.0	1.0
32	PF00024	0.5	1.0	0.5
33	PF14803	0.0	0.5	0.5
34	PF20024	0.5	0.5	0.5
35	PF08079	0.5	1.0	1.0
36	PF08234	1.0	0.0	1.0
37	PF25505	1.0	1.0	0.0
38	PF11138	0.5	0.0	0.5
39	PF12701	0.0	0.5	0.5
40	PF15609	0.0	0.5	0.5
41	PF18145	0.5	0.0	0.5
42	PF05047	0.5	1.0	1.0
43	PF02148	1.0	0.5	1.0
44	PF08614	0.5	0.5	0.0
45	PF20590	0.5	0.0	0.5
46	PF04800	0.5	0.5	0.5
47	PF08242	0.0	0.5	0.5
48	PF16797	0.0	0.0	0.0
49	PF03413	0.0	0.0	0.0
50	PF24641	0.0	0.0	0.0
51	PF20016	0.0	0.5	0.5
52	PF13442	0.5	1.0	1.0
53	PF24567	0.5	0.0	0.5
54	PF02556	0.0	0.0	0.0
55	PF09368	0.0	0.0	0.0
56	PF01912	0.5	0.5	0.5
57	PF04535	0.0	0.0	0.0
58	PF22664	0.5	0.5	0.0
59	PF04176	0.0	0.0	0.0
60	PF00216	1.0	1.0	1.0
61	PF20612	0.0	0.0	0.0
62	PF02199	1.0	0.5	1.0
63	PF19883	0.0	0.5	0.5
64	PF03031	1.0	1.0	1.0
65	PF22946	0.0	1.0	1.0
66	PF24479	1.0	1.0	0.0
67	PF23716	1.0	1.0	0.0
68	PF14768	0.0	0.5	0.5
69	PF23580	0.5	0.5	0.5
70	PF12965	1.0	1.0	0.5
71	PF21934	1.0	0.5	1.0
72	PF13365	1.0	0.5	0.5
73	PF25481	0.5	0.5	0.0
74	PF00932	1.0	1.0	0.5
75	PF25089	0.0	1.0	1.0
76	PF13581	0.0	0.5	0.5
77	PF04934	0.5	0.5	1.0
78	PF20084	1.0	1.0	0.5
79	PF12996	0.5	0.0	0.5
80	PF12830	0.5	0.5	0.5
81	PF05545	0.5	0.0	0.5
82	PF25512	0.5	1.0	1.0
83	PF03896	0.0	0.5	0.5
84	PF12848	0.5	1.0	1.0
85	PF21528	1.0	0.5	1.0
86	PF18331	0.0	0.0	0.0
87	PF18211	1.0	1.0	0.0
88	PF04925	1.0	0.0	1.0
89	PF08315	0.5	0.0	0.5
90	PF24425	0.5	0.5	0.0
91	PF17039	0.5	0.0	0.5
92	PF24583	0.0	0.0	0.0
93	PF24925	1.0	0.0	1.0
94	PF04354	1.0	0.5	1.0
95	PF10374	1.0	0.0	1.0
96	PF06427	0.5	0.0	0.5
97	PF04226	1.0	0.0	1.0
98	PF03485	1.0	0.5	1.0
99	PF14345	1.0	0.0	1.0
100	PF13004	1.0	1.0	1.0
101	PF12829	0.0	0.5	0.5
102	PF18945	0.5	0.5	1.0
103	PF10040	1.0	1.0	1.0
104	PF10290	0.5	0.5	1.0
105	PF09759	0.0	1.0	1.0
106	PF16978	0.0	0.0	0.0
107	PF20704	0.5	0.0	0.5
108	PF03839	0.0	0.0	0.0
109	PF08522	1.0	1.0	1.0
110	PF13183	0.5	1.0	1.0
111	PF22531	0.0	0.0	0.0
112	PF11248	1.0	0.5	1.0
113	PF16922	1.0	1.0	0.5
114	PF04313	0.5	1.0	0.5
115	PF13577	0.5	0.5	1.0
116	PF16747	1.0	1.0	0.0
117	PF04699	0.0	0.0	0.0
118	PF10785	1.0	0.0	1.0
119	PF11575	0.5	0.5	0.5
120	PF19741	0.0	0.0	0.0
121	PF05347	1.0	0.0	1.0
122	PF01412	0.0	0.5	0.5
123	PF01682	0.0	0.5	0.5
124	PF22337	0.0	0.0	0.0
125	PF19271	0.5	0.5	0.0
126	PF20150	0.5	0.5	1.0
127	PF08544	1.0	1.0	1.0
128	PF11452	0.5	0.5	0.0
129	PF00270	0.5	0.0	0.5
130	PF02209	0.5	1.0	1.0
131	PF23722	0.0	0.5	0.5
132	PF23857	0.5	0.5	1.0
133	PF25344	1.0	1.0	0.5
134	PF25042	0.0	0.5	0.5
135	PF08164	0.0	0.0	0.0
136	PF19906	1.0	0.5	1.0
137	PF01986	0.5	1.0	1.0
138	PF21027	0.5	0.0	0.5
139	PF20210	0.0	0.0	0.0
140	PF20432	1.0	1.0	1.0
141	PF18974	0.0	0.0	0.0
142	PF19266	0.5	0.0	0.5
143	PF03924	0.5	1.0	1.0
144	PF16331	0.5	0.0	0.5
145	PF13679	0.0	0.0	0.0
146	PF08883	0.5	0.5	1.0
147	PF14561	0.0	0.0	0.0
148	PF05669	0.0	0.0	0.0
149	PF21180	0.0	0.0	0.0
150	PF18978	0.5	0.0	0.5
151	PF23619	0.0	0.5	0.5
152	PF19360	0.5	1.0	1.0
153	PF18370	0.0	0.5	0.5
154	PF04265	1.0	1.0	0.0
155	PF10276	1.0	0.5	1.0
156	PF03822	0.5	0.0	0.5
157	PF11185	0.0	0.0	0.0
158	PF20013	0.0	0.0	0.0
159	PF09148	0.5	1.0	1.0
160	PF23477	0.5	0.5	1.0
161	PF15412	1.0	1.0	0.5
162	PF14492	0.5	0.5	0.5
163	PF23759	0.0	0.0	0.0
164	PF24858	1.0	1.0	1.0
165	PF24914	0.0	0.0	0.0
166	PF11103	0.5	1.0	1.0
167	PF00659	0.5	0.5	0.0
168	PF25218	0.0	0.0	0.0
169	PF03382	1.0	1.0	0.5
170	PF21235	0.0	0.0	0.0
171	PF07799	1.0	1.0	1.0
172	PF10438	1.0	1.0	0.0
173	PF09811	1.0	1.0	1.0
174	PF18701	0.5	0.5	1.0
175	PF16004	0.5	1.0	1.0
176	PF19631	0.0	0.0	0.0
177	PF13102	0.5	0.5	1.0
178	PF20720	0.0	0.5	0.5
179	PF08312	1.0	1.0	1.0
180	PF23043	0.5	0.5	0.5
181	PF22495	0.5	0.5	0.5
182	PF18129	0.0	0.5	0.5
183	PF16190	1.0	0.5	0.5
184	PF03493	1.0	1.0	0.5
185	PF17751	1.0	1.0	0.0
186	PF18938	0.5	0.0	0.5
187	PF11193	0.0	0.5	0.5
188	PF04990	0.5	1.0	1.0
189	PF21996	0.5	0.0	0.5
190	PF06754	0.5	1.0	1.0
191	PF04565	0.0	0.0	0.0
192	PF09286	1.0	0.5	1.0
193	PF23253	0.0	0.0	0.0
